sensor,metric,start,end,label,confidence,notes
IPS7100SYN_node02,pm1_0,2025-04-21T00:00:00Z,2025-04-21T07:20:00Z,clock,1,L1: conflicting duplicates and out-of-order rows (loader removes them)
IPS7100SYN_node02,pm2_5,2025-03-11T12:00:00Z,2025-03-11T12:05:00Z,invalid,1,F1: pm2_5 negative reading (-3)
IPS7100SYN_node02,pm2_5,2025-03-25T09:35:00Z,2025-03-25T14:00:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node02,pm2_5,2025-04-03T03:00:00Z,2025-04-03T13:00:00Z,offline,1,F4: all bins offline for 10 h
IPS7100SYN_node02,pm2_5,2025-04-12T01:00:00Z,2025-04-12T13:00:00Z,freeze,1,F5: whole sensor frozen for 12 h
IPS7100SYN_node02,pm2_5,2025-04-21T00:00:00Z,2025-04-21T07:20:00Z,clock,1,L1: conflicting duplicates and out-of-order rows (loader removes them)
IPS7100SYN_node02,pm2_5,2025-04-30T00:00:00Z,2025-05-01T00:00:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node02,pm5_0,2025-04-03T03:00:00Z,2025-04-03T13:00:00Z,offline,1,F4: all bins offline for 10 h
IPS7100SYN_node02,pm5_0,2025-04-12T01:00:00Z,2025-04-12T13:00:00Z,freeze,1,F5: whole sensor frozen for 12 h
IPS7100SYN_node02,pm5_0,2025-04-21T00:00:00Z,2025-04-21T07:20:00Z,clock,1,L1: conflicting duplicates and out-of-order rows (loader removes them)
IPS7100SYN_node02,pm5_0,2025-04-30T00:00:00Z,2025-05-01T00:00:00Z,freeze,1,F6: pm5_0 channel dead (reads 0) for 24 h
IPS7100SYN_node03,pm0_3,2025-03-28T00:00:00Z,2025-03-30T00:00:00Z,offset,1,S3: subtle pm0_3 offset +2.5 for 48 h
IPS7100SYN_node03,pm0_5,2025-03-28T00:05:00Z,2025-03-28T07:15:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node03,pm0_5,2025-03-28T08:15:00Z,2025-03-28T08:25:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node03,pm0_5,2025-03-28T09:35:00Z,2025-03-28T12:30:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node03,pm0_5,2025-03-28T14:35:00Z,2025-03-28T22:20:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node03,pm0_5,2025-03-29T00:30:00Z,2025-03-29T00:50:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node03,pm0_5,2025-03-29T15:20:00Z,2025-03-30T00:00:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node03,pm10_0,2025-04-06T00:00:00Z,2025-04-07T00:00:00Z,noise,1,S4: pm10_0 noise sd 8 for 24 h
IPS7100SYN_node03,pm1_0,2025-03-19T00:00:00Z,2025-03-21T00:00:00Z,offset,1,S2: pm1_0 offset +12 for 48 h
IPS7100SYN_node03,pm2_5,2025-03-11T02:00:00Z,2025-03-11T22:05:00Z,spike,1,S1: six isolated +60 pm2_5 spikes
IPS7100SYN_node03,pm2_5,2025-03-19T00:00:00Z,2025-03-21T00:00:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node03,pm2_5,2025-04-15T00:00:00Z,2025-04-17T00:00:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node03,pm2_5,2025-04-25T00:00:00Z,2025-04-25T12:00:00Z,offset,1,S6: pm2_5 offset +25 for 12 h
IPS7100SYN_node03,pm5_0,2025-03-11T02:00:00Z,2025-03-11T02:05:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node03,pm5_0,2025-03-11T06:00:00Z,2025-03-11T06:05:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node03,pm5_0,2025-03-11T10:00:00Z,2025-03-11T10:05:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node03,pm5_0,2025-03-11T14:00:00Z,2025-03-11T14:05:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node03,pm5_0,2025-03-11T18:00:00Z,2025-03-11T18:05:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node03,pm5_0,2025-03-11T22:00:00Z,2025-03-11T22:05:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node03,pm5_0,2025-04-06T00:15:00Z,2025-04-07T00:00:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node03,pm5_0,2025-04-15T00:00:00Z,2025-04-17T00:00:00Z,sensitivity,1,S5: pm5_0 gain 0.35 for 48 h
IPS7100SYN_node03,pm5_0,2025-04-25T00:00:00Z,2025-04-25T12:00:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm0_5,2025-05-05T00:00:00Z,2025-05-20T00:00:00Z,drift,1,D3: pm0_5 drifts +4 over 15 d (during haze trend)
IPS7100SYN_node04,pm10_0,2025-04-10T00:00:00Z,2025-04-30T00:00:00Z,drift,1,"D2: pm10_0 gain drifts to 1.7 over 15 d, held 5 d"
IPS7100SYN_node04,pm1_0,2025-05-10T17:25:00Z,2025-05-10T22:05:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm1_0,2025-05-11T00:00:00Z,2025-05-11T00:05:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm1_0,2025-05-12T02:30:00Z,2025-05-12T02:55:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm1_0,2025-05-12T23:30:00Z,2025-05-13T05:20:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm1_0,2025-05-14T10:30:00Z,2025-05-16T02:10:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm1_0,2025-05-16T04:35:00Z,2025-05-16T04:40:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm1_0,2025-05-16T15:20:00Z,2025-05-17T11:40:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm1_0,2025-05-17T12:45:00Z,2025-05-18T06:00:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm1_0,2025-05-18T09:50:00Z,2025-05-18T09:55:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm1_0,2025-05-18T11:00:00Z,2025-05-20T00:00:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm2_5,2025-03-16T00:00:00Z,2025-03-31T00:00:00Z,drift,1,"D1: pm2_5 drifts +10 over 10 d, held 5 d"
IPS7100SYN_node04,pm5_0,2025-03-16T19:35:00Z,2025-03-17T05:25:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm5_0,2025-03-17T07:50:00Z,2025-03-17T10:30:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm5_0,2025-03-17T13:20:00Z,2025-03-17T14:55:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm5_0,2025-03-17T19:20:00Z,2025-03-18T08:50:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm5_0,2025-03-18T11:15:00Z,2025-03-21T02:10:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm5_0,2025-03-21T06:45:00Z,2025-03-22T14:55:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm5_0,2025-03-22T16:40:00Z,2025-03-22T16:55:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm5_0,2025-03-22T20:00:00Z,2025-03-23T05:00:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node04,pm5_0,2025-03-23T07:45:00Z,2025-03-31T00:00:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node05,pm0_1,2025-03-23T00:00:00Z,2025-03-23T12:00:00Z,noise,1,C2: pm0_1 channel outputs garbage for 12 h
IPS7100SYN_node05,pm0_1,2025-04-02T14:00:00Z,2025-04-02T14:15:00Z,restart,1,"C3: restart, all bins read 0 for 3 readings"
IPS7100SYN_node05,pm0_1,2025-04-15T00:00:00Z,2025-04-18T00:00:00Z,offset,1,C4: all bins read 1.5x for 3 d (reseated inlet)
IPS7100SYN_node05,pm0_3,2025-03-23T00:00:00Z,2025-03-23T12:00:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node05,pm0_3,2025-04-02T14:00:00Z,2025-04-02T14:15:00Z,restart,1,"C3: restart, all bins read 0 for 3 readings"
IPS7100SYN_node05,pm0_3,2025-04-15T00:00:00Z,2025-04-18T00:00:00Z,offset,1,C4: all bins read 1.5x for 3 d (reseated inlet)
IPS7100SYN_node05,pm0_5,2025-04-02T14:00:00Z,2025-04-02T14:15:00Z,restart,1,"C3: restart, all bins read 0 for 3 readings"
IPS7100SYN_node05,pm0_5,2025-04-15T00:00:00Z,2025-04-18T00:00:00Z,offset,1,C4: all bins read 1.5x for 3 d (reseated inlet)
IPS7100SYN_node05,pm0_5,2025-04-30T00:00:00Z,2025-04-30T12:00:00Z,offset,1,C5: pm0_5 reads 0.6 above pm1_0 for 12 h
IPS7100SYN_node05,pm10_0,2025-04-02T14:00:00Z,2025-04-02T14:15:00Z,restart,1,"C3: restart, all bins read 0 for 3 readings"
IPS7100SYN_node05,pm10_0,2025-04-15T00:00:00Z,2025-04-18T00:00:00Z,offset,1,C4: all bins read 1.5x for 3 d (reseated inlet)
IPS7100SYN_node05,pm1_0,2025-03-13T00:00:00Z,2025-03-14T00:00:00Z,ordering,1,C1: pm1_0/pm2_5 channels swapped for 24 h
IPS7100SYN_node05,pm1_0,2025-04-02T14:00:00Z,2025-04-02T14:15:00Z,restart,1,"C3: restart, all bins read 0 for 3 readings"
IPS7100SYN_node05,pm1_0,2025-04-15T00:00:00Z,2025-04-18T00:00:00Z,offset,1,C4: all bins read 1.5x for 3 d (reseated inlet)
IPS7100SYN_node05,pm1_0,2025-04-30T00:00:00Z,2025-04-30T12:00:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node05,pm2_5,2025-03-13T00:00:00Z,2025-03-14T00:00:00Z,ordering,1,C1: pm1_0/pm2_5 channels swapped for 24 h
IPS7100SYN_node05,pm2_5,2025-04-02T14:00:00Z,2025-04-02T14:15:00Z,restart,1,"C3: restart, all bins read 0 for 3 readings"
IPS7100SYN_node05,pm2_5,2025-04-15T00:00:00Z,2025-04-18T00:00:00Z,offset,1,C4: all bins read 1.5x for 3 d (reseated inlet)
IPS7100SYN_node05,pm5_0,2025-04-02T14:00:00Z,2025-04-02T14:15:00Z,restart,1,"C3: restart, all bins read 0 for 3 readings"
IPS7100SYN_node05,pm5_0,2025-04-15T00:00:00Z,2025-04-18T00:00:00Z,offset,1,C4: all bins read 1.5x for 3 d (reseated inlet)
